Date,Price,Open,High,Low,Vol.,Change %
12/5/2016,961.65,965.90,968.60,958.00,1.83M,0.00
12/2/2016,964.50,964.80,969.60,961.10,2.23M,-0.01
12/1/2016,975.60,976.00,983.55,967.00,2.31M,0.00
11/30/2016,975.55,973.00,977.00,961.05,4.25M,0.00
11/29/2016,972.60,978.80,984.70,967.10,3.06M,-0.01
11/28/2016,979.75,979.30,983.45,970.60,3.68M,0.00
11/25/2016,977.50,930.45,985.00,930.45,6.32M,0.05
11/24/2016,930.30,928.20,939.90,923.30,8.39M,0.01
11/23/2016,920.25,922.10,922.90,912.45,4.13M,0.01
11/22/2016,914.20,916.90,928.65,911.65,2.74M,0.00
11/21/2016,911.10,926.90,926.90,906.95,3.97M,-0.01
11/18/2016,920.00,930.00,933.25,917.50,3.02M,-0.01
11/17/2016,929.80,934.25,949.00,926.40,2.85M,-0.01
11/16/2016,940.90,930.00,956.85,928.55,6.11M,0.02
11/15/2016,923.55,924.00,939.95,908.55,4.62M,0.00
11/11/2016,921.55,940.00,945.00,918.70,3.55M,-0.02
11/10/2016,939.40,962.50,962.50,935.00,3.64M,-0.02
11/9/2016,958.30,930.00,974.60,901.00,6.38M,-0.02
11/8/2016,982.60,986.90,987.75,970.60,2.63M,0.00
11/7/2016,977.95,985.00,986.00,975.00,2.27M,0.01
11/4/2016,971.00,967.00,979.20,961.00,3.00M,0.00
11/3/2016,966.85,981.05,982.00,965.10,2.61M,-0.01
11/2/2016,981.05,984.80,987.50,980.00,2.69M,-0.01
11/1/2016,989.45,1006.80,1006.80,986.40,3.17M,-0.01
10/30/2016,1002.10,1001.00,1005.95,999.80,319.04K,0.00
10/28/2016,997.50,1005.20,1010.00,993.15,2.92M,-0.01
10/27/2016,1003.50,1017.90,1017.95,1001.10,3.61M,-0.01
10/26/2016,1014.20,1017.00,1019.85,1009.30,1.39M,0.00
10/25/2016,1017.20,1036.50,1038.90,1015.20,2.82M,-0.01
10/24/2016,1027.10,1037.50,1042.70,1025.50,1.45M,-0.01
10/21/2016,1038.30,1035.00,1041.00,1022.50,1.93M,0.00
10/20/2016,1036.65,1044.75,1050.70,1033.80,1.77M,0.00
10/19/2016,1041.80,1042.00,1045.70,1036.00,1.75M,0.00
10/18/2016,1039.05,1030.00,1040.50,1027.30,3.19M,0.02
10/17/2016,1022.40,1034.95,1041.80,1017.35,4.01M,0.00
10/14/2016,1027.15,1052.90,1082.70,996.25,16.73M,-0.02
10/13/2016,1052.35,1021.40,1058.00,1021.40,4.89M,0.02
10/10/2016,1029.95,1017.00,1031.75,1010.00,2.71M,0.02
10/7/2016,1012.55,1029.95,1033.80,1010.10,3.14M,-0.01
10/6/2016,1027.40,1045.00,1045.00,1025.95,1.86M,-0.01
10/5/2016,1041.50,1049.20,1049.85,1037.00,1.15M,-0.01
10/4/2016,1049.20,1040.00,1051.40,1038.30,2.53M,0.01
10/3/2016,1038.10,1035.50,1040.00,1026.10,1.83M,0.00
9/30/2016,1036.05,1031.10,1043.90,1031.10,3.25M,0.01
9/29/2016,1029.20,1044.95,1044.95,1024.00,4.45M,-0.01
9/28/2016,1038.95,1040.00,1042.30,1033.25,2.72M,0.00
9/27/2016,1039.75,1035.05,1049.90,1033.35,3.26M,0.00
9/26/2016,1035.90,1042.75,1044.00,1031.00,3.19M,-0.01
9/23/2016,1042.55,1057.00,1058.80,1040.00,2.60M,-0.02
9/22/2016,1058.80,1059.00,1061.00,1052.00,1.81M,0.00
9/21/2016,1055.75,1054.00,1061.25,1051.05,2.12M,0.01
9/20/2016,1050.15,1053.30,1057.15,1045.75,2.11M,-0.01
9/19/2016,1061.20,1046.00,1068.90,1041.35,2.90M,0.00
9/16/2016,1060.15,1049.00,1064.50,1038.10,4.97M,0.02
9/15/2016,1042.20,1045.60,1046.80,1035.35,2.35M,0.00
9/14/2016,1045.60,1053.95,1057.80,1040.65,2.58M,-0.01
9/12/2016,1054.00,1025.25,1058.00,1025.25,3.10M,0.02
9/9/2016,1035.50,1037.00,1041.00,1026.55,2.53M,0.00
9/8/2016,1037.65,1045.00,1045.00,1024.00,4.55M,-0.02
9/7/2016,1054.35,1048.00,1059.00,1044.00,3.71M,0.01
9/6/2016,1045.00,1038.25,1048.90,1035.60,4.11M,0.01
9/2/2016,1031.85,1039.05,1040.00,1026.20,1.67M,-0.01
9/1/2016,1037.55,1038.00,1040.45,1032.00,1.44M,0.00
8/31/2016,1035.85,1037.10,1045.75,1027.80,5.57M,0.00
8/30/2016,1040.40,1032.45,1045.00,1025.00,2.19M,0.02
8/29/2016,1022.80,1017.60,1030.00,1011.00,2.61M,0.00
8/26/2016,1020.25,1036.00,1046.00,1017.05,3.44M,-0.02
8/25/2016,1036.15,1055.00,1057.60,1032.10,2.40M,-0.02
8/24/2016,1057.40,1047.00,1062.05,1047.00,3.06M,0.02
8/23/2016,1039.65,1020.10,1042.00,1020.10,3.70M,0.02
8/22/2016,1015.45,1018.00,1030.00,1009.10,5.13M,-0.01
8/19/2016,1021.30,1030.00,1039.00,1018.45,2.84M,0.00
8/18/2016,1023.40,1036.50,1039.10,1021.50,4.22M,-0.01
8/17/2016,1033.30,1049.95,1052.65,1030.50,3.30M,-0.02
8/16/2016,1051.80,1042.00,1058.05,1028.00,8.21M,-0.01
8/12/2016,1062.55,1075.05,1078.80,1060.00,3.72M,-0.01
8/11/2016,1077.35,1081.70,1095.00,1075.25,2.52M,0.00
8/10/2016,1082.35,1076.00,1087.90,1075.20,2.79M,0.00
8/9/2016,1083.40,1077.00,1084.50,1071.50,3.60M,0.00
8/8/2016,1078.70,1069.00,1081.00,1062.55,2.32M,0.01
8/5/2016,1068.00,1072.00,1073.45,1060.00,2.80M,0.00
8/4/2016,1071.80,1086.40,1086.90,1070.05,2.12M,-0.01
8/3/2016,1084.90,1085.65,1086.50,1070.30,3.61M,0.00
8/2/2016,1083.80,1079.90,1085.00,1075.00,3.41M,0.00
8/1/2016,1085.25,1071.50,1087.85,1068.35,4.55M,0.01
7/29/2016,1073.85,1072.60,1076.75,1066.50,4.08M,0.00
7/28/2016,1077.50,1085.40,1086.95,1074.05,5.63M,-0.01
7/27/2016,1085.35,1084.70,1096.50,1078.55,3.72M,0.00
7/26/2016,1088.70,1070.35,1089.90,1070.35,3.59M,0.01
7/25/2016,1080.85,1063.00,1083.25,1063.00,4.23M,0.01
7/22/2016,1072.45,1070.00,1079.90,1066.70,4.69M,-0.01
7/21/2016,1079.90,1079.00,1087.20,1075.60,4.33M,0.00
7/20/2016,1083.10,1070.00,1089.90,1070.00,4.91M,0.00
7/19/2016,1086.95,1088.60,1090.00,1074.10,5.20M,0.00
7/18/2016,1081.95,1077.25,1084.90,1055.15,7.17M,0.01
7/15/2016,1072.55,1189.50,1189.90,1052.00,30.74M,-0.09
7/14/2016,1176.25,1195.00,1196.05,1164.00,3.71M,-0.01
7/13/2016,1193.80,1180.00,1195.80,1175.20,2.64M,0.01
7/12/2016,1176.55,1180.00,1180.35,1168.00,3.10M,0.00
7/11/2016,1175.05,1167.40,1178.70,1160.00,3.33M,0.01
7/8/2016,1158.20,1163.00,1167.00,1153.50,2.78M,0.00
7/7/2016,1157.25,1168.70,1171.00,1155.00,2.98M,-0.02
7/5/2016,1175.45,1185.00,1187.50,1171.05,1.80M,-0.01
7/4/2016,1183.95,1176.20,1194.60,1176.20,2.69M,0.01
